timestamp,dataset,np,best_length,real_time_sec
2025-11-12 13:08:17,berlin52,2,7544.366,0.26
2025-11-12 13:08:18,berlin52,4,7544.366,0.29
2025-11-12 13:08:18,berlin52,8,7544.366,0.40
2025-11-12 13:08:18,berlin52,16,7544.366,0.75
2025-11-12 13:08:19,berlin52,32,7544.366,1.39
2025-11-12 13:08:20,d198,2,15811.341,5.36
2025-11-12 13:08:26,d198,4,15811.341,6.56
2025-11-12 13:08:32,d198,8,15811.341,10.61
2025-11-12 13:08:43,d198,16,15811.341,21.73
2025-11-12 13:09:05,d198,32,15811.341,39.61
2025-11-12 13:09:44,pr439,2,107407.858,58.93
2025-11-12 13:10:43,pr439,4,107407.858,76.49
2025-11-12 13:12:00,pr439,8,107407.858,113.01
2025-11-12 13:13:53,pr439,16,107407.858,213.44
2025-11-12 13:17:26,pr439,32,107407.858,488.35
