timestamp,dataset,np,best_length,real_time_sec
2025-11-12 13:04:41,berlin52,2,NA,NA
2025-11-12 13:04:41,berlin52,4,NA,NA
2025-11-12 13:04:41,berlin52,8,NA,NA
2025-11-12 13:04:41,berlin52,16,NA,NA
2025-11-12 13:04:41,berlin52,32,NA,NA
2025-11-12 13:04:41,d198,2,NA,NA
2025-11-12 13:04:41,d198,4,NA,NA
2025-11-12 13:04:41,d198,8,NA,NA
2025-11-12 13:04:41,d198,16,NA,NA
2025-11-12 13:04:41,d198,32,NA,NA
2025-11-12 13:04:41,pr439,2,NA,NA
2025-11-12 13:04:41,pr439,4,NA,NA
2025-11-12 13:04:41,pr439,8,NA,NA
2025-11-12 13:04:41,pr439,16,NA,NA
2025-11-12 13:04:41,pr439,32,NA,NA
